video_name,single_label,actual,annotation,video_path,exist,sample_path
10784.mp4,6,sadness,A woman bows her head and cries in great pain. The deep frown and the slightly open mouth.,/data/naihao/MAFW_sample/data/10784.mp4,True,./sample_subset/10784.mp4
07799.mp4,6,sadness,A woman complains loudly. The wide eyes and  the  open mouth.,/data/naihao/MAFW_sample/data/07799.mp4,True,./sample_subset/07799.mp4
05822.mp4,7,surprise,"A woman heard the results, smiled and asked about the authenticity of the results, feeling incredulous. The higher inner corners of eyebrows, the lower outer corners of eyebrows and the raised lip corners.",/data/naihao/MAFW_sample/data/05822.mp4,True,./sample_subset/05822.mp4
07468.mp4,7,surprise,A man looks back and forth a few times and suddenly turns his head to speak. The open mouth.,/data/naihao/MAFW_sample/data/07468.mp4,True,./sample_subset/07468.mp4
00617.mp4,3,fear,"A woman looks across the room and slowly rises, breathing tightly. The wide open eyes, the tighten chin and the slightly open lips.",/data/naihao/MAFW_sample/data/00617.mp4,True,./sample_subset/00617.mp4
08290.mp4,7,surprise,"A man is stunned by another man. The lower inner corners of eyebrows, the higher outer corners of eyebrows, the wide eyes, the open mouth and a downward pull on the lip corners.",/data/naihao/MAFW_sample/data/08290.mp4,True,./sample_subset/08290.mp4
07013.mp4,6,sadness,A woman lowers her head and shed tears silently. The closed eyes and a downward pull on the lip corners.,/data/naihao/MAFW_sample/data/07013.mp4,True,./sample_subset/07013.mp4
10319.mp4,1,anger,"A woman excitedly accuses someone of not paying for breakfast and throws something at him. The wide eyes, the lower inner corners of eyebrows and the higher outer corners of eyebrows.",/data/naihao/MAFW_sample/data/10319.mp4,True,./sample_subset/10319.mp4
07626.mp4,1,anger,"A man asks. The wide eyes ,the lower inner corners of eyebrows and the higher outer corners of eyebrows.",/data/naihao/MAFW_sample/data/07626.mp4,True,./sample_subset/07626.mp4
11143.mp4,9,anxiety,"Next to a hut, a woman stands up as she spoke. The marked frown and the wide eyes.",/data/naihao/MAFW_sample/data/11143.mp4,True,./sample_subset/11143.mp4
07082.mp4,7,surprise,"A woman trembles suddenly after seeing the man, covering her mouth with her hand. The wide eyes, the higher inner corners of eyebrows and the lower outer corners of eyebrows.",/data/naihao/MAFW_sample/data/07082.mp4,True,./sample_subset/07082.mp4
10143.mp4,8,contempt,A woman's face is full of disapproval. The marked frown and the slightly open mouth.,/data/naihao/MAFW_sample/data/10143.mp4,True,./sample_subset/10143.mp4
10907.mp4,6,sadness,A boy bows his head slightly after saying sorry to someone. The compressed lips.,/data/naihao/MAFW_sample/data/10907.mp4,True,./sample_subset/10907.mp4
20040.mp4,1,anger,"A man holding up the phone repeats turning around and yells at the people in the back seat. The frown, the wrinkled nose, the compressed lips, and the clenched teeth.",/data/naihao/MAFW_sample/data/20040.mp4,True,./sample_subset/20040.mp4
07887.mp4,2,disgust,A woman complains about someone. The frown.,/data/naihao/MAFW_sample/data/07887.mp4,True,./sample_subset/07887.mp4
02125.mp4,1,anger,A woman speaks to the other side with her arms crossed. The higher outer corners of eyebrows and the wide eyes.,/data/naihao/MAFW_sample/data/02125.mp4,True,./sample_subset/02125.mp4
15519.mp4,11,disappointment,A man sitting next to a policeman sighs. The frown and the slightly open mouth.,/data/naihao/MAFW_sample/data/15519.mp4,True,./sample_subset/15519.mp4
08217.mp4,2,disgust,"A woman gives a disdainful look. The lower inner corners of eyebrows, the higher outer corners of eyebrows, the half-closed eyes and a downward pull on the lip corners.",/data/naihao/MAFW_sample/data/08217.mp4,True,./sample_subset/08217.mp4
07032.mp4,3,fear,"He looks at a girl somewhere and she is panting. The wide eyes, the lower inner corners of eyebrows and the higher outer corners of eyebrows.",/data/naihao/MAFW_sample/data/07032.mp4,True,./sample_subset/07032.mp4
08286.mp4,1,anger,"A woman yells at the man in front of her. The wide eyes, the open mouth and a downward pull on the lip corners.",/data/naihao/MAFW_sample/data/08286.mp4,True,./sample_subset/08286.mp4
10382.mp4,1,anger,A woman resents her boyfriend for a clown. The blink eyes and the wide eyes.,/data/naihao/MAFW_sample/data/10382.mp4,True,./sample_subset/10382.mp4
08506.mp4,9,anxiety,A woman apologizes with guilt.  The marked frown and the open mouth.,/data/naihao/MAFW_sample/data/08506.mp4,True,./sample_subset/08506.mp4
10273.mp4,1,anger,A woman questions her boyfriend about the identity of another woman. The mark frown and the wide eyes.,/data/naihao/MAFW_sample/data/10273.mp4,True,./sample_subset/10273.mp4
04153.mp4,6,sadness,"The man looks down, looks dignified and tells his experience. The slight frown and a downward pull on the lip corners.",/data/naihao/MAFW_sample/data/04153.mp4,True,./sample_subset/04153.mp4
10542.mp4,3,fear,A man sees something and stands up in fright. The deep frown and the open mouth.,/data/naihao/MAFW_sample/data/10542.mp4,True,./sample_subset/10542.mp4
02808.mp4,4,happiness,A woman looks at the other side of her head. The raised lip corners.,/data/naihao/MAFW_sample/data/02808.mp4,True,./sample_subset/02808.mp4
